fs_sim,nr_sim,rc_sim,rl_sim
0.1916992041315303,0.6,16.0,33.0
1.1250188583497915,0.4,16.0,29.0
0.340903898872982,1.0,0.0,25.0
0.08192246478237314,0.6,8.0,20.0
0.17564222534808316,0.8,9.0,18.0
0.17564222534808316,0.8,9.0,18.0
0.14574894843433556,1.0,6.0,17.0
0.39848245923695846,1.0,4.0,20.0
0.35018277127924335,1.0,6.0,23.0
0.22472328682657894,0.8,5.0,27.0
0.30985493089640914,0.8,7.0,23.0
0.27738843222474174,0.8,10.0,22.0
0.17687771830043497,0.8,7.0,19.0
0.6535664882150043,0.4,22.0,44.0
0.18472528032125396,0.8,5.0,16.0
0.5035716166997772,0.6,11.0,37.0
0.45398072203564965,0.6,10.0,24.0
0.11312413580354957,1.0,8.0,20.0
0.38867083155251625,1.0,2.0,20.0
0.13131851018582746,0.8,11.0,20.0
0.10493709624137426,1.0,4.0,9.0
0.4989832510873201,0.4,20.0,40.0
0.496687101143389,0.4,20.0,40.0
1.0058992346938775,0.4,22.0,43.0
0.42269140336857636,0.4,18.0,36.0
0.8363390495086924,0.4,22.0,44.0
0.41476885635559857,0.4,16.0,31.0
0.1919524754346183,0.8,9.0,19.0
0.2263114687364307,0.8,7.0,24.0
0.058135637604747215,0.4,22.0,44.0
0.06418296485260772,0.4,20.0,40.0
0.05543512578298643,0.4,20.0,40.0
0.163592507786247,0.8,5.0,16.0
0.9512117346938775,0.4,22.0,43.0
1.167387674000236,0.4,22.0,44.0
0.6523836096938775,0.4,18.0,35.0
0.2601591031149302,0.6,14.0,24.0
0.3629978652300081,0.8,11.0,22.0
0.6916324502415807,0.8,7.0,22.0
0.13357086681822988,1.0,0.0,17.0
0.13174162599822536,1.0,0.0,17.0
0.28777674473403814,0.8,13.0,28.0
0.44773951247165533,0.8,13.0,27.0
0.18309960922571272,0.8,5.0,20.0
0.26292857454717833,0.4,16.0,32.0
0.22570975505586854,0.8,13.0,30.0
0.2401461609233857,0.8,16.0,35.0
0.15442937303379844,0.8,13.0,20.0
0.23327450008665884,0.8,3.0,22.0
0.7473826037925899,0.4,18.0,37.0
0.39733856694143455,0.4,14.0,30.0
0.12555293226562148,0.8,14.0,34.0
0.15829959701271812,0.8,5.0,21.0
0.16999355750446815,1.0,6.0,10.0
0.17561440748005464,1.0,2.0,14.0
0.23411535240446069,1.0,6.0,20.0
0.429452953702142,0.8,8.0,21.0
0.5362368259347534,0.4,18.0,35.0
0.3236670918367347,0.4,20.0,40.0
0.24816078682657894,0.8,10.0,32.0
0.3420942896389325,0.8,10.0,25.0
0.2722061237213089,0.4,16.0,34.0
0.209705227429955,0.4,16.0,32.0
0.24729831726268492,0.4,15.0,34.0
0.3001963064822907,1.0,10.0,20.0
0.4200141675797836,0.6,14.0,21.0
0.47664276917663617,1.0,2.0,18.0
0.3894301254984752,1.0,0.0,16.0
0.16510098007375434,0.6,12.0,27.0
0.3733612953967529,0.4,15.0,31.0
0.3367758070209216,0.6,13.0,26.0
0.2601210313512592,0.4,13.0,29.0
0.36587907340355497,0.6,13.0,30.0
0.2822385204081632,0.6,8.0,32.0
0.8708485590182018,0.4,18.0,36.0
0.12874796657793552,1.0,2.0,22.0
0.12522940347024886,0.4,16.0,28.0
0.32574110216375707,0.6,8.0,22.0
0.10878838563727378,0.6,10.0,26.0
0.3532087761139959,1.0,2.0,15.0
0.33822368989968865,0.8,5.0,21.0
0.09395089959874015,1.0,4.0,6.0
0.2275024955634427,0.8,9.0,20.0
0.5178638325959755,0.4,11.0,28.0
0.10088240431027184,1.0,8.0,15.0
0.3949008580705009,0.4,14.0,29.0
0.14877648694612977,0.4,12.0,23.0
0.3725304266443419,0.6,13.0,29.0
0.49254499593955225,1.0,0.0,18.0
0.3614923875601196,0.6,13.0,29.0
0.373658381035341,0.8,7.0,22.0
0.3547309216239687,0.6,12.0,29.0
0.45607853797256603,0.8,10.0,21.0
0.2503468428943332,0.6,10.0,29.0
0.2849731502189917,0.6,21.0,42.0
0.19975516689726736,1.0,0.0,15.0
0.17095839107247834,1.0,4.0,17.0
0.30125724440261537,1.0,2.0,19.0
0.2549883602544156,0.8,7.0,30.0
1.0149452873254565,0.4,22.0,43.0
